                                 Open        High         Low       Close  \
Datetime                                                                    
2024-10-17 05:29:00+01:00  172.546005  172.580002  172.544998  172.576996   
2024-10-17 05:30:00+01:00  172.570007  172.576996  172.544998  172.554001   
2024-10-17 05:31:00+01:00  172.552002  172.561005  172.531006  172.531998   
2024-10-17 05:32:00+01:00  172.539001  172.548996  172.528000  172.535004   
2024-10-17 05:33:00+01:00  172.533997  172.535995  172.509995  172.531998   
2024-10-17 05:34:00+01:00  172.526001  172.539993  172.511993  172.535995   
2024-10-17 05:35:00+01:00  172.535995  172.546997  172.529999  172.537003   
2024-10-17 05:36:00+01:00  172.539001  172.569000  172.535995  172.561996   
2024-10-17 05:37:00+01:00  172.563995  172.585007  172.557007  172.561005   
2024-10-17 05:38:00+01:00  172.559998  172.565002  172.546997  172.561005   
2024-10-17 05:39:00+01:00  172.561005  172.561996  172.537994  172.542999   
2024-10-17 05:40:00+01:00  172.546997  172.552002  172.529999  172.531998   
2024-10-17 05:41:00+01:00  172.539993  172.544998  172.511993  172.516998   
2024-10-17 05:42:00+01:00  172.518005  172.550995  172.511993  172.535995   
2024-10-17 05:43:00+01:00  172.544998  172.556000  172.535995  172.539001   
2024-10-17 05:44:00+01:00  172.542999  172.554993  172.537003  172.542999   
2024-10-17 05:45:00+01:00  172.548004  172.556000  172.537994  172.554001   
2024-10-17 05:46:00+01:00  172.556000  172.595001  172.548004  172.578995   
2024-10-17 05:47:00+01:00  172.578995  172.598999  172.570007  172.572998   
2024-10-17 05:48:00+01:00  172.572998  172.591995  172.572006  172.578995   
2024-10-17 05:49:00+01:00  172.578003  172.587006  172.567001  172.570999   
2024-10-17 05:50:00+01:00  172.570999  172.602997  172.567001  172.578003   
2024-10-17 05:51:00+01:00  172.576996  172.608002  172.576996  172.600998   
2024-10-17 05:52:00+01:00  172.608002  172.615997  172.587997  172.606003   
2024-10-17 05:53:00+01:00  172.606995  172.610992  172.593994  172.600006   
2024-10-17 05:54:00+01:00  172.598999  172.617996  172.593994  172.604004   
2024-10-17 05:55:00+01:00  172.604004  172.617996  172.600998  172.604996   
2024-10-17 05:56:00+01:00  172.600006  172.623001  172.598999  172.621994   
2024-10-17 05:57:00+01:00  172.615997  172.626007  172.604996  172.613007   
2024-10-17 05:58:00+01:00  172.617996  172.623001  172.606995  172.619995   
2024-10-17 05:59:00+01:00  172.619995  172.626999  172.606995  172.621002   
2024-10-17 06:00:00+01:00  172.621002  172.621994  172.593002  172.600006   
2024-10-17 06:01:00+01:00  172.602997  172.612000  172.589005  172.598999   
